id,employeeId,companyId,rating,creationDate
01G1G3RjxB6gacfh8YJY,IDpByi84vDviXZvRSbg7,nGyyHyn4PSUfp56hyG1G,4,"{""_seconds"":1292447445,""_nanoseconds"":998000000}"
024gItBxVEuz3DTjLR5Y,iTNFLOWK3RidCVbyeJfD,0kNEruwWCWIN4F8JJQvg,4,"{""_seconds"":1473259013,""_nanoseconds"":292000000}"
048hYtwJm5mZWDd0LLit,J1PsuZOtkVweB27wLgIL,Ov0EsCaLyOGpYazVr8UV,5,"{""_seconds"":1613403452,""_nanoseconds"":623000000}"
04GksZV9edmE5W09pP9D,rNbfKIG1V3eCbDjI91YX,aDcZcIwweTeM1Sr3Sz3X,4,"{""_seconds"":1432900275,""_nanoseconds"":940000000}"
04rZYWGcoLEOS3iWQdg5,ZiLMRkBU3WwzGbJufXys,oKcTsIup3B2CAMSFz584,3.5,"{""_seconds"":1645958045,""_nanoseconds"":25000000}"
052LC4iuIdBBEkMWAZg9,eMs3P4vQ79U3z8UVSE9S,Ov0EsCaLyOGpYazVr8UV,4.5,"{""_seconds"":1377986291,""_nanoseconds"":573000000}"
05PvvUXdVpGhmGugMxY3,m99xIYi4aFYvjoNA8qql,ICrzmCm7bJtV8n9GROdl,3,"{""_seconds"":1624613274,""_nanoseconds"":786000000}"
07JoU7TtBIOUWygz6Jmw,5aBQvCnbQ6X6lmClM4ZD,ICrzmCm7bJtV8n9GROdl,4,"{""_seconds"":1659920015,""_nanoseconds"":971000000}"
07r2DeHvprl4Ol4pWAWj,tVuBWiWBX1IsDZOqEGXU,oKcTsIup3B2CAMSFz584,4.5,"{""_seconds"":1357075070,""_nanoseconds"":278000000}"
08tG38ONEjWWtxAapM02,VscTs5W6RWEOBZrGuzpL,nGyyHyn4PSUfp56hyG1G,2.5,"{""_seconds"":1570338505,""_nanoseconds"":271000000}"
0BZhvxMWsyKlndUKPrAg,2mS1hnowyKndNfqT61LD,E7FHqKgvSDUJ5oYD0VWg,2,"{""_seconds"":1357581097,""_nanoseconds"":661000000}"
0CDWK9dA1rShu5S1IQgX,v33GdLzsNwR4pRHEIRgq,5pbw6CrRy2DT2QFc4B9M,4.5,"{""_seconds"":1532128214,""_nanoseconds"":860000000}"
0CWWYp9LwF0uqmLrps8L,LARvP9ErBygP78gQpaQC,8PWCUycv0jjYY0y6E4fD,5,"{""_seconds"":1320712323,""_nanoseconds"":779000000}"
0CvCJSIEPUtr9ONlAMcF,qtZrKmqtjSRyqAwkxYG0,aDcZcIwweTeM1Sr3Sz3X,3.5,"{""_seconds"":1494744447,""_nanoseconds"":220000000}"
0F7iMg4SWHUhOgdtOl8r,jkIi4w1GVQrC9vQC7osj,57oJgyE4MXbxxPYGVf92,2.5,"{""_seconds"":1579475854,""_nanoseconds"":587000000}"
0GNNTDuOu8LAQh6FLvuW,SrG97gsHgZ8Exu7WA1vM,cPhIUTHws87c58ecrQV2,2.5,"{""_seconds"":1604860775,""_nanoseconds"":117000000}"
0GQBBzx3R4DOxqs5wkDK,YojOuXvvtuVoGcS1Nh98,dEJdDR0YEQsyPgZLoUam,3,"{""_seconds"":1457865150,""_nanoseconds"":762000000}"
0GTNyqVbWkz0fZMEOBy7,qN40sIL7cWbxK7utecf1,oKcTsIup3B2CAMSFz584,2,"{""_seconds"":1291743198,""_nanoseconds"":279000000}"
0GY2xdEPIKzlzgoQbv0Z,Wnfmv4v17fNgknjSa78r,CFm8QyWr7rBQTFz83H4p,2.5,"{""_seconds"":1313234734,""_nanoseconds"":953000000}"
0GeE4JhN8kvYlRmeYUCN,tJb2qv0taNT1JMqtyAfz,CFm8QyWr7rBQTFz83H4p,3,"{""_seconds"":1446005553,""_nanoseconds"":571000000}"
0GlaGX3uQQpTtPeQPuVp,BWrVfF1I3OXM8b915VpQ,cPhIUTHws87c58ecrQV2,3,"{""_seconds"":1479057572,""_nanoseconds"":397000000}"
0HIh2MDVRq1ptI6k1RJz,U7hFNcRilVcsg7z1Wmsk,oKcTsIup3B2CAMSFz584,1,"{""_seconds"":1646870750,""_nanoseconds"":5000000}"
0HSN1mC7O1P3B5nM6vl6,SQcrjkk6xIv2LD2QHQIp,UbIUYv5sV6k91TMmKyij,4.5,"{""_seconds"":1611170152,""_nanoseconds"":342000000}"
0ITLPtBmPU64uND6K6hZ,avXfWOMdaPLK5GTDhtyK,Vh5YJq0Ln7QZzgihae1u,5,"{""_seconds"":1516353107,""_nanoseconds"":670000000}"
0IUwB7N4yv2TxoEpP2fZ,UXbr3VPI9fb1oYr6POjl,He5Mv7RiQ2i0garxQxGa,3,"{""_seconds"":1666930879,""_nanoseconds"":144000000}"
0IbYphG0ahxZhB9di15u,v3lE2HqWMnC76qirb6Qr,0hzXY2zftI3mBtifQu5V,3,"{""_seconds"":1487464311,""_nanoseconds"":976000000}"
0KI2olf5ZAvQDmLGyQK9,Hipp817VOuO33HxC8FKv,CFm8QyWr7rBQTFz83H4p,5,"{""_seconds"":1280099870,""_nanoseconds"":592000000}"
0LJqFUDoeyZc0VqQ5FHF,QLQsN2cdjj3MPTN4zFZK,0hzXY2zftI3mBtifQu5V,1.5,"{""_seconds"":1427368741,""_nanoseconds"":706000000}"
0Lo3AMFIsxPiS21aYxkX,9iyQ9IPaGN3QIE6aeGOb,2W7RVSBtvAzglTKbSuKV,3,"{""_seconds"":1384565389,""_nanoseconds"":821000000}"
0MLcWv7IHXeTRzU5Dq4X,C6GKlfhoyW55tGSxxZss,qi6pbTev82jWQhbWngaT,4,"{""_seconds"":1465488292,""_nanoseconds"":822000000}"
0MP9KFQINSUg548FiVjF,Br3N2FCSGL0gdFB0DIEI,l17XKGfrekSuOPw7tPoB,4,"{""_seconds"":1518760234,""_nanoseconds"":4000000}"
0OWYxdL2eJaXJ6yDua7U,UDaYzKb4THiJUZuk6Nye,EBknh7bEnO3NyTrr1062,3,"{""_seconds"":1283056813,""_nanoseconds"":97000000}"
0OzOwK85FLENJtQgNiBq,zqy9ap5fDBdcDXLayrBX,r4vXAQrpW1lvjGQ7ZNR2,5,"{""_seconds"":1440077315,""_nanoseconds"":702000000}"
0PWdop1MMMRHHKke6xd3,XDvHVGh5YxKTntqZjIpc,r4vXAQrpW1lvjGQ7ZNR2,5,"{""_seconds"":1571861475,""_nanoseconds"":203000000}"
0Q0hWX5kYl4UVTpwb8Hh,pEUzVGxrA4cdFPXtuL8a,QBmHEmYge9BxYYF2gK0l,3,"{""_seconds"":1530176058,""_nanoseconds"":16000000}"
0SDoPbDz7xNagrXFdPfU,qsq4k48V1xj1JqXqP0u0,ICrzmCm7bJtV8n9GROdl,3,"{""_seconds"":1633999479,""_nanoseconds"":780000000}"
0UK5eav2VcDwOBme5O4w,MeNrhv67YFTHPQEuSg5C,E7FHqKgvSDUJ5oYD0VWg,3,"{""_seconds"":1355152579,""_nanoseconds"":534000000}"
0ULqakYJaT8J7hjMMY2i,ffc8dkyd2hf71Mkn9I1M,75uD6iP12uEVLpULDmpu,2,"{""_seconds"":1616607523,""_nanoseconds"":510000000}"
0UliwZqkOOGDquQx6I3p,atUVYo06syGl8u3jliln,5pbw6CrRy2DT2QFc4B9M,4,"{""_seconds"":1385515969,""_nanoseconds"":393000000}"
0VMqFeb1zUd7GDLllB3e,gb8YLmrcELWYpcPpVtJ1,c4gp3oKOjDcCTa3PWYRy,3,"{""_seconds"":1376032575,""_nanoseconds"":482000000}"
0VQYSsTNb4mnuF4J0J1Q,IzZAFMPIK9YmeT807stP,oKcTsIup3B2CAMSFz584,5,"{""_seconds"":1307650852,""_nanoseconds"":942000000}"
0VkCJ3Pw8ZzKIRO2EuaZ,zJNvkjwwbgkHfTnjtDhi,2W7RVSBtvAzglTKbSuKV,4,"{""_seconds"":1630748126,""_nanoseconds"":630000000}"
